"","RD","FARM","YR","JUL","DAY","TREAT","WOS","GLM","AREA","HAB","STUB","XCO","YCO","MOUSE","SX","V","T","P","WGT","LTH","FL","CL","FA","CN","FAEC","PH"
"81",19,212,1,296,2,1,162,2,2,80,0,1,6,NA,2,2,1,1,180,80,NA,1,1,1,NA,NA
"82",19,212,1,296,2,1,162,2,2,80,0,2,6,NA,2,1,1,1,125,76,NA,1,1,1,NA,NA
"83",19,212,1,296,2,1,162,2,2,80,0,1,5,NA,2,2,1,1,185,86,NA,1,1,1,NA,NA
"84",19,212,1,296,2,1,162,2,2,80,0,2,5,NA,2,3,1,1,145,81,NA,1,1,1,NA,NA
"85",19,212,1,296,2,1,162,2,2,80,0,2,4,NA,2,4,1,1,145,81,NA,1,1,1,NA,NA
"86",19,212,1,296,2,1,162,2,2,80,0,2,3,NA,2,2,1,1,160,82,NA,1,1,1,NA,NA
"87",19,212,1,296,2,1,162,2,2,80,0,1,1,NA,1,NA,NA,NA,160,82,NA,1,1,1,NA,NA
"88",19,212,1,296,2,1,162,2,3,8,0,2,11,NA,1,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA
"89",19,212,1,296,2,1,162,2,3,8,0,2,5,NA,2,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA
"90",19,212,1,296,2,1,162,2,4,80,0,1,14,NA,1,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA
"91",19,212,1,296,1,1,162,1,1,40,0,4,5,NA,2,2,1,1,135,80,NA,1,1,1,NA,NA
"92",19,212,1,296,1,1,162,1,1,40,0,3,5,NA,2,2,2,1,141,81,NA,1,1,1,NA,NA
"93",19,212,1,296,1,1,162,1,1,40,0,1,4,NA,1,NA,NA,NA,100,73,NA,1,1,1,NA,NA
"94",19,212,1,296,1,1,162,1,1,40,0,3,2,NA,2,2,1,1,132,82,NA,1,1,1,NA,NA
"95",19,212,1,296,1,1,162,1,1,40,0,4,2,NA,2,2,1,1,133,78,NA,1,1,1,NA,NA
"96",19,212,1,298,2,1,162,1,1,43,0,6,1,NA,2,2,3,1,153,82,NA,1,1,1,NA,NA
"97",19,212,1,298,2,1,162,1,1,43,0,3,1,NA,1,NA,NA,NA,164,84,NA,1,1,1,NA,NA
"98",19,212,1,298,2,1,162,1,1,43,0,1,1,NA,2,2,2,1,151,81,NA,1,1,1,NA,NA
"99",19,212,1,298,2,1,162,1,1,43,0,3,2,NA,1,NA,NA,NA,149,83,NA,1,1,1,NA,NA
"100",19,212,1,298,2,1,162,1,1,43,0,6,3,NA,2,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA
"101",19,212,1,298,2,1,162,1,1,43,0,4,3,NA,1,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA
"102",19,212,1,298,2,1,162,1,1,43,0,1,3,NA,2,2,2,1,133,78,NA,1,1,1,NA,NA
"103",19,212,1,298,2,1,162,1,1,43,0,2,5,NA,2,2,2,1,191,82,NA,1,1,1,NA,NA
"104",19,212,1,298,2,1,162,1,1,43,0,3,5,NA,2,1,1,1,84,66,NA,1,1,1,NA,NA
"105",19,212,1,298,2,1,162,1,1,43,0,5,5,NA,2,2,2,2,165,81,NA,1,1,1,NA,NA
"106",19,212,1,298,2,1,162,1,1,43,0,4,2,NA,2,3,2,1,170,86,NA,1,1,1,NA,NA
"107",19,212,1,298,2,1,162,1,1,43,0,2,2,NA,2,2,2,1,170,86,NA,1,1,1,NA,NA
"108",19,212,1,298,2,1,162,1,1,43,0,2,3,NA,1,NA,NA,NA,115,74,NA,1,1,1,NA,NA
"109",19,212,1,298,2,1,162,1,1,43,0,6,4,NA,1,NA,NA,NA,150,83,NA,1,1,1,NA,NA
"110",19,212,1,298,2,1,162,1,1,43,0,3,4,NA,1,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA
"111",19,212,1,298,2,1,162,1,1,43,0,2,4,NA,2,3,1,1,150,82,NA,1,1,1,NA,NA
"112",19,212,1,297,2,1,162,1,1,40,0,1,5,NA,2,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA
"113",19,212,1,297,2,1,162,1,1,40,0,2,6,NA,1,NA,NA,NA,150,80,NA,1,1,1,NA,NA
"114",19,212,1,297,2,1,162,1,1,40,0,3,6,NA,2,2,1,1,105,71,NA,1,1,1,NA,NA
"115",19,550,1,297,1,2,162,1,1,88,0,3,2,NA,2,1,1,1,80,67,NA,1,1,1,NA,NA
"116",19,550,1,297,1,2,162,1,1,88,0,5,2,NA,2,2,2,1,127,78,NA,1,1,1,NA,NA
"117",19,550,1,297,1,2,162,1,1,88,0,6,3,NA,2,2,3,2,249,89,NA,1,1,1,NA,NA
"118",19,550,1,297,1,2,162,1,1,88,0,4,3,NA,1,NA,NA,NA,109,73,NA,1,1,1,NA,NA
"119",19,550,1,297,1,2,162,1,1,88,0,2,3,NA,1,NA,NA,NA,144,78,NA,1,1,1,NA,NA
"120",19,550,1,297,1,2,162,1,1,88,0,3,4,NA,1,NA,NA,NA,138,78,NA,1,1,1,NA,NA
"121",19,550,1,297,1,2,162,1,1,88,0,4,4,NA,1,NA,NA,NA,157,84,NA,1,1,1,NA,NA
"122",19,550,1,297,1,2,162,1,1,88,0,2,5,NA,2,2,2,2,125,73,NA,1,1,1,NA,NA
"123",19,550,1,297,1,2,162,2,2,80,0,2,1,NA,2,1,1,1,110,71,NA,1,1,1,NA,NA
"124",19,550,1,297,1,2,162,2,2,80,0,1,5,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,1
"125",19,550,1,297,1,2,162,2,2,80,0,1,8,NA,1,NA,NA,NA,140,80,NA,1,1,1,NA,NA
"126",19,550,1,297,1,2,162,2,2,80,0,2,12,NA,2,3,1,1,120,75,NA,1,1,1,NA,NA
"127",19,550,1,297,1,2,162,2,2,80,0,2,13,NA,1,NA,NA,NA,155,81,NA,1,1,1,NA,NA
"128",19,550,1,298,2,2,162,1,1,88,0,4,4,NA,2,2,2,1,130,75,NA,1,1,1,NA,NA
"129",19,550,1,298,2,2,162,1,1,88,0,6,3,NA,2,2,3,1,169,88,NA,1,1,1,NA,NA
"130",19,550,1,298,2,2,162,1,1,88,0,4,3,NA,1,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA
"131",19,550,1,298,2,2,162,1,1,88,0,2,2,NA,2,1,1,1,97,70,NA,1,1,1,NA,NA
"132",19,550,1,298,2,2,162,1,1,88,0,3,2,NA,2,2,1,1,112,74,NA,1,1,1,NA,NA
"133",19,550,1,298,2,2,162,1,1,88,0,5,2,NA,2,2,3,2,170,85,NA,1,1,1,NA,NA
"134",19,550,1,298,2,2,162,1,1,88,0,4,1,NA,1,NA,NA,NA,152,82,NA,1,1,1,NA,NA
"135",19,550,1,298,2,2,162,2,2,80,0,2,2,NA,2,2,2,1,165,80,NA,1,1,1,NA,NA
"136",19,550,1,298,2,2,162,2,2,80,0,1,3,NA,2,2,1,1,90,71,NA,1,1,1,NA,NA
"137",19,550,1,298,2,2,162,2,2,80,0,1,6,NA,2,2,1,1,155,88,NA,1,1,1,NA,NA
"138",19,550,1,298,2,2,162,2,2,80,0,2,6,NA,2,3,1,1,145,78,NA,1,1,1,NA,NA
"139",19,550,1,298,2,2,162,2,2,80,0,1,7,NA,1,NA,NA,NA,110,74,NA,1,1,1,NA,NA
"140",19,550,1,298,2,2,162,2,2,80,0,1,12,NA,2,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA
"141",19,550,1,298,2,2,162,2,2,80,0,2,15,NA,1,NA,NA,NA,180,85,NA,1,1,1,NA,NA
"142",19,524,1,297,1,2,162,1,1,42,0,1,4,NA,1,NA,NA,NA,157,83,NA,1,1,1,NA,NA
"143",19,524,1,297,1,2,162,1,1,42,0,2,4,NA,2,2,2,1,151,83,NA,1,1,1,NA,NA
"144",19,524,1,297,1,2,162,1,1,42,0,3,1,NA,1,NA,NA,NA,153,81,NA,1,1,1,NA,NA
"145",19,524,1,297,1,2,162,1,1,42,0,3,5,NA,2,2,3,1,200,87,NA,1,1,1,NA,NA
"146",19,524,1,297,1,2,162,1,1,42,0,6,1,NA,2,2,3,1,195,85,NA,1,1,1,NA,NA
"147",19,524,1,297,1,2,162,1,1,42,0,6,3,NA,2,2,3,1,180,85,NA,1,1,1,NA,NA
"148",19,524,1,297,1,2,162,1,1,42,0,5,4,NA,1,NA,NA,NA,205,88,NA,1,1,1,NA,NA
"149",19,524,1,297,1,2,162,1,1,42,0,4,6,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,1
"150",19,524,1,297,1,2,162,2,2,23,0,2,15,NA,1,NA,NA,NA,170,82,NA,1,1,1,NA,NA
"151",19,524,1,297,1,2,162,2,3,8,0,1,12,NA,2,2,2,2,135,78,NA,1,1,1,NA,NA
"152",19,524,1,297,1,2,162,2,3,8,0,1,5,NA,1,NA,NA,NA,161,80,NA,1,1,1,NA,NA
"153",19,524,1,297,1,2,162,2,3,8,0,1,4,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,1
"154",19,524,1,297,1,2,162,2,3,8,0,1,1,NA,1,NA,NA,NA,120,77,NA,1,1,1,NA,NA
"155",19,524,1,297,1,2,162,2,3,8,0,2,3,NA,2,1,1,1,90,69,NA,1,1,1,NA,NA
"156",19,524,1,297,1,2,162,2,3,8,0,2,2,NA,1,NA,NA,NA,110,75,NA,1,1,1,NA,NA
"157",19,524,1,297,1,2,162,2,4,80,0,1,15,NA,2,2,1,1,115,71,NA,1,1,1,NA,NA
"158",19,524,1,298,2,2,162,1,1,42,0,1,3,NA,2,2,3,1,200,84,NA,1,1,1,NA,NA
"159",19,524,1,298,2,2,162,1,1,42,0,2,5,NA,2,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA
"160",19,524,1,298,2,2,162,1,1,42,0,3,5,NA,1,NA,NA,NA,153,83,NA,1,1,1,NA,NA
"161",19,524,1,298,2,2,162,1,1,42,0,4,2,NA,2,2,2,1,180,86,NA,1,1,1,NA,NA
"162",19,524,1,298,2,2,162,1,1,42,0,4,1,NA,1,NA,NA,NA,182,89,NA,1,1,1,NA,NA
"163",19,524,1,298,2,2,162,1,1,42,0,5,2,NA,1,NA,NA,NA,135,81,NA,1,1,1,NA,NA
"164",19,524,1,298,2,2,162,1,1,42,0,5,5,NA,2,2,3,1,184,87,NA,1,1,1,NA,NA
"165",19,524,1,298,2,2,162,1,1,42,0,1,2,NA,2,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA
"166",19,524,1,298,2,2,162,1,1,42,0,1,4,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,1
"167",19,524,1,298,2,2,162,2,2,23,0,1,5,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,1
"168",19,524,1,298,2,2,162,2,3,8,0,1,4,NA,1,NA,NA,NA,105,75,NA,1,1,1,NA,NA
"169",19,524,1,298,2,2,162,2,3,8,0,1,5,NA,1,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA
"170",19,524,1,298,2,2,162,2,3,8,0,1,7,NA,1,NA,NA,NA,130,75,NA,1,1,1,NA,NA
"171",19,524,1,298,2,2,162,2,3,8,0,1,11,NA,1,NA,NA,NA,105,76,NA,1,1,1,NA,NA
"172",19,524,1,298,2,2,162,2,3,8,0,1,12,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,1
"173",19,38,1,293,1,1,162,1,1,40,0,1,2,NA,1,NA,NA,NA,180,88,NA,1,1,1,NA,NA
"174",19,38,1,293,1,1,162,1,1,40,0,5,3,NA,1,NA,NA,NA,135,79,NA,1,1,1,NA,NA
"175",19,38,1,293,1,1,162,1,1,40,0,5,1,NA,1,NA,NA,NA,187,85,NA,1,1,1,NA,NA
"176",19,38,1,293,1,1,162,1,1,40,0,4,1,NA,2,2,1,1,NA,NA,NA,1,1,1,NA,NA
"177",19,38,1,293,1,1,162,1,1,40,0,3,1,NA,1,NA,NA,NA,155,88,NA,1,1,1,NA,NA
"178",19,38,1,293,1,1,162,1,1,40,0,1,5,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,1
"179",19,38,1,293,1,1,162,1,1,40,0,3,5,NA,2,2,1,1,158,84,NA,1,1,1,NA,NA
"180",19,38,1,293,1,1,162,1,1,40,0,4,5,NA,1,NA,NA,NA,160,88,NA,1,1,1,NA,NA
"181",19,38,1,293,1,1,162,1,1,40,0,5,5,NA,1,NA,NA,NA,135,81,NA,1,1,1,NA,NA
"182",19,38,1,293,1,1,162,1,1,40,0,6,5,NA,2,2,2,1,141,84,NA,1,1,1,NA,NA
"183",19,38,1,294,2,1,162,1,1,40,0,4,1,NA,1,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA
"184",19,38,1,294,2,1,162,1,1,40,0,6,1,NA,1,NA,NA,NA,NA,85,NA,1,1,1,NA,NA
"185",19,38,1,294,2,1,162,1,1,40,0,3,1,NA,1,NA,NA,NA,NA,83,NA,1,1,1,NA,NA
"186",19,38,1,294,2,1,162,1,1,40,0,2,1,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,1
"187",19,38,1,294,2,1,162,1,1,40,0,6,5,NA,2,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA
"188",19,38,1,294,2,1,162,1,1,40,0,2,5,NA,1,NA,NA,NA,NA,NA,NA,2,2,2,NA,NA
"189",19,38,1,294,2,1,162,1,1,40,0,1,5,NA,1,NA,NA,NA,156,84,NA,1,1,1,NA,NA
"190",19,38,1,294,2,1,162,1,1,40,0,6,4,NA,1,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA
"191",19,38,1,294,2,1,162,1,1,40,0,3,3,NA,2,2,2,1,156,83,NA,1,1,1,NA,NA
"192",19,38,1,294,2,1,162,1,1,40,0,6,2,NA,2,2,2,1,150,80,NA,1,1,1,NA,NA
"193",19,38,1,294,2,1,162,1,1,40,0,1,3,NA,2,2,2,1,153,78,NA,1,1,1,NA,NA
"194",19,9,1,293,1,2,162,1,1,40,0,3,5,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,1
"195",19,9,1,293,1,2,162,1,1,40,0,2,5,NA,1,NA,NA,NA,NA,76,NA,1,1,1,NA,NA
"196",19,9,1,293,1,2,162,1,1,40,0,4,6,NA,2,2,1,1,135,76,NA,1,1,1,NA,NA
"197",19,9,1,293,1,2,162,1,1,40,0,5,6,NA,1,NA,NA,NA,120,78,NA,1,1,1,NA,NA
"198",19,9,1,294,2,2,162,1,1,40,0,5,6,NA,2,1,1,1,NA,78,NA,1,1,1,NA,NA
"199",19,9,1,294,2,2,162,1,1,40,0,4,6,NA,1,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA
"200",19,9,1,294,2,2,162,1,1,40,0,2,4,NA,1,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA
"201",19,511,1,295,1,2,162,1,1,44,0,3,2,NA,2,2,1,1,130,78,NA,1,1,1,NA,NA
"202",19,511,1,295,1,2,162,1,1,44,0,5,3,NA,1,NA,NA,NA,98,74,NA,1,1,1,NA,NA
"203",19,511,1,295,1,2,162,1,1,44,0,2,3,NA,2,2,2,1,150,80,NA,1,1,1,NA,NA
"204",19,511,1,295,1,2,162,1,1,44,0,1,1,0,2,2,1,1,170,85,NA,1,1,1,NA,NA
"205",19,511,1,295,1,2,162,1,1,44,0,5,1,NA,2,2,2,1,175,86,NA,1,1,1,NA,NA
"206",19,511,1,295,1,2,162,1,1,44,0,5,2,NA,2,2,1,1,155,85,NA,1,1,1,NA,NA
"207",19,511,1,295,1,2,162,1,1,44,0,3,2,NA,1,NA,NA,NA,150,80,NA,1,1,1,NA,NA
"208",19,511,1,295,1,2,162,1,1,44,0,2,1,NA,1,NA,NA,NA,NA,82,NA,1,1,1,NA,NA
"209",19,511,1,295,1,2,162,1,1,44,0,4,1,NA,2,1,1,1,NA,85,NA,1,1,1,NA,NA
"210",19,511,1,295,1,2,162,1,1,44,0,1,4,NA,1,NA,NA,NA,NA,84,NA,1,1,1,NA,NA
"211",19,511,1,295,1,2,162,2,3,8,0,1,2,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,1
"212",19,511,1,295,1,2,162,2,3,8,0,1,7,NA,1,NA,NA,NA,134,80,NA,1,1,1,NA,NA
"213",19,511,1,296,2,2,162,1,1,44,0,1,6,NA,1,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA
"214",19,511,1,296,2,2,162,1,1,44,0,5,6,NA,1,NA,NA,NA,142,80,NA,1,1,1,NA,NA
"215",19,511,1,296,2,2,162,1,1,44,0,5,5,NA,1,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA
"216",19,511,1,296,2,2,162,1,1,44,0,4,5,NA,1,NA,NA,NA,124,84,NA,1,1,1,NA,NA
"217",19,511,1,296,2,2,162,1,1,44,0,3,5,NA,1,NA,NA,NA,150,82,NA,1,1,1,NA,NA
"218",19,511,1,296,2,2,162,1,1,44,0,1,5,NA,2,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA
"219",19,511,1,296,2,2,162,1,1,44,0,2,4,NA,2,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA
"220",19,511,1,296,2,2,162,1,1,44,0,5,3,NA,2,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA
"221",19,511,1,296,2,2,162,1,1,44,0,3,3,NA,2,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA
"222",19,511,1,296,2,2,162,1,1,44,0,2,3,NA,2,NA,NA,NA,NA,NA,NA,2,1,2,NA,NA
"223",19,511,1,296,2,2,162,1,1,44,0,1,3,NA,1,NA,NA,NA,133,80,NA,1,1,1,NA,NA
"224",19,511,1,296,2,2,162,1,1,44,0,3,2,NA,1,NA,NA,NA,90,72,NA,1,1,1,NA,NA
"225",19,511,1,296,2,2,162,1,1,44,0,1,2,NA,1,NA,NA,NA,166,81,NA,1,1,1,NA,NA
