"","RD","FARM","YR","JUL","DAY","TREAT","WOS","GLM","AREA","HAB","STUB","XCO","YCO","PERC"
"212",1,192,98,265,1,2,1,2,2,80,NA,2,18,5
"213",1,216,98,266,1,2,1,2,2,84,NA,1,1,2
"214",1,216,98,266,1,2,1,2,2,84,NA,1,2,1
"215",1,216,98,266,1,2,1,2,2,84,NA,1,3,2
"216",1,216,98,266,1,2,1,2,2,84,NA,1,1,1
"217",1,216,98,266,1,2,1,2,2,84,NA,1,6,5
"218",1,216,98,266,1,2,1,2,2,84,NA,1,7,8
"219",1,216,98,266,1,2,1,2,2,84,NA,1,8,6
"220",1,216,98,266,1,2,1,2,2,84,NA,1,9,2
"221",1,216,98,266,1,2,1,2,2,84,NA,1,10,1
"222",1,216,98,266,1,2,1,2,2,84,NA,1,13,6
"223",1,216,98,266,1,2,1,2,2,84,NA,1,14,3
"224",1,216,98,266,1,2,1,2,2,84,NA,1,15,4
"225",1,216,98,266,1,2,1,2,2,84,NA,1,16,1
"226",1,216,98,266,1,2,1,2,2,84,NA,1,17,7
"227",1,216,98,266,1,2,1,2,2,84,NA,1,18,6
"228",1,216,98,266,1,2,1,2,2,84,NA,1,19,3
"229",1,216,98,266,1,2,1,2,2,84,NA,1,20,3
"230",1,216,98,266,1,2,1,2,2,84,NA,2,20,5
"231",1,216,98,266,1,2,1,2,2,84,NA,2,19,4
"232",1,216,98,266,1,2,1,2,2,84,NA,2,17,6
"233",1,216,98,266,1,2,1,2,2,84,NA,2,16,2
"234",1,216,98,266,1,2,1,2,2,84,NA,2,15,2
"235",1,216,98,266,1,2,1,2,2,84,NA,2,14,2
"236",1,216,98,266,1,2,1,2,2,84,NA,2,13,1
"237",1,216,98,266,1,2,1,2,2,84,NA,2,12,2
"238",1,216,98,266,1,2,1,2,2,84,NA,2,10,5
"239",1,216,98,266,1,2,1,2,2,84,NA,2,9,7
"240",1,216,98,266,1,2,1,2,2,84,NA,2,8,1
"241",1,216,98,266,1,2,1,2,2,84,NA,2,6,6
"242",1,216,98,266,1,2,1,2,2,84,NA,2,5,2
"243",1,216,98,266,1,2,1,2,2,84,NA,2,4,2
"244",1,216,98,266,1,2,1,2,2,84,NA,2,3,3
"245",1,216,98,266,1,2,1,2,2,84,NA,2,2,8
"246",1,216,98,266,1,2,1,2,2,84,NA,2,3,5
"247",1,216,98,266,1,2,1,2,2,84,NA,2,2,2
"248",1,216,98,266,1,2,1,2,2,84,NA,2,1,1
"249",1,216,98,266,1,2,1,1,1,40,NA,1,3,1
"250",1,216,98,267,2,2,1,2,4,84,NA,1,12,2
"251",1,216,98,267,2,2,1,2,4,84,NA,2,12,1
"252",1,216,98,267,2,2,1,2,4,84,NA,1,14,2
"253",1,216,98,267,2,2,1,2,3,56,4,1,10,8
"254",1,216,98,267,2,2,1,2,2,84,NA,2,20,5
"255",1,216,98,267,2,2,1,2,2,84,NA,1,20,1
"256",1,216,98,267,2,2,1,2,2,84,NA,1,19,4
"257",1,216,98,267,2,2,1,2,2,84,NA,2,19,3
"258",1,216,98,267,2,2,1,2,2,84,NA,2,18,6
"259",1,216,98,267,2,2,1,2,2,84,NA,2,17,4
"260",1,216,98,267,2,2,1,2,2,84,NA,2,16,3
"261",1,216,98,267,2,2,1,2,2,84,NA,2,15,3
"262",1,216,98,267,2,2,1,2,2,84,NA,2,14,15
"263",1,216,98,267,2,2,1,2,2,84,NA,1,14,4
"264",1,216,98,267,2,2,1,2,2,84,NA,1,13,1
"265",1,216,98,267,2,2,1,2,2,84,NA,2,13,13
"266",1,216,98,267,2,2,1,2,2,84,NA,1,12,3
"267",1,216,98,267,2,2,1,2,2,84,NA,2,12,5
"268",1,216,98,267,2,2,1,2,2,84,NA,1,11,2
"269",1,216,98,267,2,2,1,2,2,84,NA,1,10,10
"270",1,216,98,267,2,2,1,2,2,84,NA,1,9,2
"271",1,216,98,267,2,2,1,2,2,84,NA,1,8,10
"272",1,216,98,267,2,2,1,2,2,84,NA,2,8,2
"273",1,216,98,267,2,2,1,2,2,84,NA,2,7,1
"274",1,216,98,267,2,2,1,2,2,84,NA,1,1,4
"275",1,216,98,267,2,2,1,1,1,40,NA,3,1,1
"276",1,216,98,267,2,2,1,1,1,40,NA,4,1,1
"277",1,216,98,267,2,2,1,1,1,40,NA,6,1,5
"278",1,216,98,267,2,2,1,1,1,40,NA,5,2,9
"279",1,216,98,267,2,2,1,1,1,40,NA,5,3,20
"280",1,216,98,267,2,2,1,1,1,40,NA,4,3,15
"281",1,216,98,267,2,2,1,1,1,40,NA,4,4,14
"282",1,216,98,267,2,2,1,1,1,40,NA,2,5,1
"283",1,216,98,267,2,2,1,1,1,40,NA,1,4,13
"284",1,216,98,267,2,2,1,1,1,40,NA,2,5,4
"285",1,216,98,267,2,2,1,1,1,40,NA,4,5,4
"286",1,216,98,267,2,2,1,1,1,40,NA,5,5,13
"287",1,216,98,267,2,2,1,1,1,40,NA,6,5,23
"288",1,231,98,263,1,1,1,2,4,80,NA,1,20,12
"289",1,231,98,263,1,1,1,2,4,80,NA,1,18,17
"290",1,231,98,263,1,1,1,2,4,80,NA,1,17,8
"291",1,231,98,263,1,1,1,2,4,80,NA,1,16,15
"292",1,231,98,263,1,1,1,2,4,80,NA,1,15,36
"293",1,231,98,263,1,1,1,2,4,80,NA,1,13,42
"294",1,231,98,263,1,1,1,2,4,80,NA,1,12,12
"295",1,231,98,263,1,1,1,2,4,80,NA,1,11,8
"296",1,231,98,263,1,1,1,2,4,80,NA,1,9,30
"297",1,231,98,263,1,1,1,2,4,80,NA,1,8,30
"298",1,231,98,263,1,1,1,2,4,80,NA,1,6,10
"299",1,231,98,263,1,1,1,2,4,80,NA,1,6,100
"300",1,231,98,263,1,1,1,2,4,80,NA,1,5,55
"301",1,231,98,263,1,1,1,2,4,80,NA,1,4,100
"302",1,231,98,263,1,1,1,2,4,80,NA,1,3,15
"303",1,231,98,263,1,1,1,2,4,80,NA,1,2,7
"304",1,231,98,263,1,1,1,2,4,80,NA,1,1,8
"305",1,231,98,263,1,1,1,2,3,57,1,1,18,2
"306",1,231,98,263,1,1,1,2,3,57,1,1,13,24
"307",1,231,98,263,1,1,1,2,3,57,1,1,11,21
"308",1,231,98,263,1,1,1,2,3,57,1,1,9,9
"309",1,231,98,263,1,1,1,2,3,57,1,1,6,7
"310",1,231,98,263,1,1,1,2,3,57,1,1,3,6
"311",1,231,98,263,1,1,1,2,3,57,1,2,19,45
"312",1,231,98,263,1,1,1,2,3,57,1,2,18,32
"313",1,231,98,263,1,1,1,2,3,57,1,2,17,86
"314",1,231,98,263,1,1,1,2,3,57,1,2,16,15
"315",1,231,98,263,1,1,1,2,3,57,1,2,15,16
"316",1,231,98,263,1,1,1,2,3,57,1,2,14,7
"317",1,231,98,263,1,1,1,2,3,57,1,2,13,8
"318",1,231,98,263,1,1,1,2,3,57,1,2,12,30
"319",1,231,98,263,1,1,1,2,3,57,1,2,11,60
"320",1,231,98,263,1,1,1,2,3,57,1,2,10,45
"321",1,231,98,263,1,1,1,2,3,57,1,2,9,75
"322",1,231,98,263,1,1,1,2,3,57,1,2,8,55
"323",1,231,98,263,1,1,1,2,3,57,1,2,7,100
"324",1,231,98,263,1,1,1,2,3,57,1,2,6,42
"325",1,231,98,263,1,1,1,2,3,57,1,2,5,100
"326",1,231,98,263,1,1,1,2,3,57,1,2,4,100
"327",1,231,98,263,1,1,1,2,3,57,1,2,3,36
"328",1,231,98,263,1,1,1,2,3,57,1,2,2,28
"329",1,231,98,263,1,1,1,2,3,57,1,2,1,100
"330",1,231,98,263,1,1,1,2,2,80,NA,1,3,12
"331",1,231,98,263,1,1,1,2,2,80,NA,1,11,100
"332",1,231,98,263,1,1,1,2,2,80,NA,1,15,55
"333",1,231,98,263,1,1,1,2,2,80,NA,1,16,12
"334",1,231,98,263,1,1,1,2,2,80,NA,1,17,20
"335",1,231,98,263,1,1,1,2,2,80,NA,1,20,5
"336",1,231,98,263,1,1,1,2,2,80,NA,2,6,18
"337",1,231,98,263,1,1,1,2,2,80,NA,2,7,19
"338",1,231,98,263,1,1,1,2,2,80,NA,2,14,50
"339",1,231,98,263,1,1,1,2,2,80,NA,2,17,72
"340",1,231,98,263,1,1,1,2,2,80,NA,2,19,23
"341",1,231,98,263,1,1,1,2,2,80,NA,2,20,28
"342",1,231,98,263,1,1,1,1,1,44,NA,7,6,28
"343",1,231,98,263,1,1,1,1,1,44,NA,7,5,5
"344",1,231,98,263,1,1,1,1,1,44,NA,7,4,5
"345",1,231,98,263,1,1,1,1,1,44,NA,7,3,20
"346",1,231,98,263,1,1,1,1,1,44,NA,7,2,15
"347",1,231,98,263,1,1,1,1,1,44,NA,6,1,55
"348",1,231,98,263,1,1,1,1,1,44,NA,6,2,18
"349",1,231,98,263,1,1,1,1,1,44,NA,6,3,15
"350",1,231,98,263,1,1,1,1,1,44,NA,6,4,70
"351",1,231,98,263,1,1,1,1,1,44,NA,5,5,10
"352",1,231,98,263,1,1,1,1,1,44,NA,5,4,6
"353",1,231,98,263,1,1,1,1,1,44,NA,5,3,5
"354",1,231,98,263,1,1,1,1,1,44,NA,5,2,15
"355",1,231,98,263,1,1,1,1,1,44,NA,5,1,21
"356",1,231,98,263,1,1,1,1,1,44,NA,4,1,3
"357",1,231,98,263,1,1,1,1,1,44,NA,4,2,6
"358",1,231,98,263,1,1,1,1,1,44,NA,4,3,100
"359",1,231,98,263,1,1,1,1,1,44,NA,4,6,28
"360",1,231,98,263,1,1,1,1,1,44,NA,3,6,65
"361",1,231,98,263,1,1,1,1,1,44,NA,3,4,2
"362",1,231,98,263,1,1,1,1,1,44,NA,3,2,28
"363",1,231,98,263,1,1,1,1,1,44,NA,2,4,100
"364",1,231,98,263,1,1,1,1,1,44,NA,2,5,73
"365",1,231,98,263,1,1,1,1,1,44,NA,2,6,100
"366",1,231,98,263,1,1,1,1,1,44,NA,1,6,100
"367",1,231,98,263,1,1,1,1,1,44,NA,1,5,42
"368",1,231,98,263,1,1,1,1,1,44,NA,1,4,19
"369",1,231,98,263,1,1,1,1,1,44,NA,1,3,100
"370",1,231,98,263,1,1,1,1,1,44,NA,1,2,6
"371",1,231,98,263,1,1,1,1,1,44,NA,1,1,42
"372",1,231,98,264,2,1,1,2,4,80,NA,1,2,1
"373",1,231,98,264,2,1,1,2,4,80,NA,1,5,60
"374",1,231,98,264,2,1,1,2,4,80,NA,1,9,23
"375",1,231,98,264,2,1,1,2,4,80,NA,1,10,42
"376",1,231,98,264,2,1,1,2,4,80,NA,1,12,20
"377",1,231,98,264,2,1,1,2,4,80,NA,1,15,2
"378",1,231,98,264,2,1,1,2,4,80,NA,1,19,5
"379",1,231,98,264,2,1,1,2,4,80,NA,1,20,6
"380",1,231,98,264,2,1,1,2,4,80,NA,2,20,8
"381",1,231,98,264,2,1,1,2,2,80,NA,2,17,12
"382",1,231,98,264,2,1,1,2,2,80,NA,2,11,5
"383",1,231,98,264,2,1,1,2,3,57,1,1,1,67
"384",1,231,98,264,2,1,1,2,3,57,1,1,2,25
"385",1,231,98,264,2,1,1,2,3,57,1,1,4,30
"386",1,231,98,264,2,1,1,2,3,57,1,1,5,41
"387",1,231,98,264,2,1,1,2,3,57,1,1,6,28
"388",1,231,98,264,2,1,1,2,3,57,1,1,7,84
"389",1,231,98,264,2,1,1,2,3,57,1,1,9,75
"390",1,231,98,264,2,1,1,2,3,57,1,1,11,94
"391",1,231,98,264,2,1,1,2,3,57,1,1,12,70
"392",1,231,98,264,2,1,1,2,3,57,1,1,13,56
"393",1,231,98,264,2,1,1,2,3,57,1,1,15,60
"394",1,231,98,264,2,1,1,2,3,57,1,1,19,23
"395",1,231,98,264,2,1,1,2,3,57,1,1,20,91
"396",1,231,98,264,2,1,1,2,3,57,1,2,20,46
"397",1,231,98,264,2,1,1,2,3,57,1,2,19,96
"398",1,231,98,264,2,1,1,2,3,57,1,2,18,66
"399",1,231,98,264,2,1,1,2,3,57,1,2,17,38
"400",1,231,98,264,2,1,1,2,3,57,1,2,16,70
"401",1,231,98,264,2,1,1,2,3,57,1,2,15,20
"402",1,231,98,264,2,1,1,2,3,57,1,2,14,90
"403",1,231,98,264,2,1,1,2,3,57,1,2,13,88
"404",1,231,98,264,2,1,1,2,3,57,1,2,12,76
"405",1,231,98,264,2,1,1,2,3,57,1,2,11,60
"406",1,231,98,264,2,1,1,2,3,57,1,2,10,15
"407",1,231,98,264,2,1,1,2,3,57,1,2,9,48
"408",1,231,98,264,2,1,1,2,3,57,1,2,8,40
"409",1,231,98,264,2,1,1,2,3,57,1,2,7,75
"410",1,231,98,264,2,1,1,2,3,57,1,2,6,83
"411",1,231,98,264,2,1,1,2,3,57,1,2,5,96
"412",1,231,98,264,2,1,1,2,3,57,1,2,4,100
"413",1,231,98,264,2,1,1,2,3,57,1,2,3,100
"414",1,231,98,264,2,1,1,2,3,57,1,2,2,87
"415",1,231,98,264,2,1,1,2,3,57,1,2,1,87
"416",1,232,98,259,1,2,1,2,4,57,NA,1,1,1
"417",1,232,98,259,1,2,1,2,3,57,NA,2,9,8
"418",1,232,98,259,1,2,1,2,3,57,NA,2,7,2
"419",1,232,98,259,1,2,1,2,2,80,NA,1,2,80
"420",1,232,98,259,1,2,1,1,1,44,NA,2,6,40
"421",1,232,98,259,1,2,1,1,1,44,NA,3,6,60
"422",1,232,98,259,1,2,1,1,1,44,NA,4,6,12
"423",1,232,98,259,1,2,1,1,1,44,NA,5,6,63
"424",1,232,98,259,1,2,1,1,1,44,NA,6,6,9
"425",1,232,98,259,1,2,1,1,1,44,NA,7,6,75
"426",1,232,98,259,1,2,1,1,1,44,NA,7,5,43
"427",1,232,98,259,1,2,1,1,1,44,NA,6,5,27
"428",1,232,98,259,1,2,1,1,1,44,NA,6,3,32
"429",1,232,98,259,1,2,1,1,1,44,NA,6,1,41
"430",1,232,98,259,1,2,1,1,1,44,NA,5,1,15
"431",1,232,98,259,1,2,1,1,1,44,NA,5,2,28
"432",1,232,98,259,1,2,1,1,1,44,NA,5,4,12
"433",1,232,98,259,1,2,1,1,1,44,NA,5,6,28
"434",1,232,98,259,1,2,1,1,1,44,NA,4,6,32
"435",1,232,98,259,1,2,1,1,1,44,NA,4,6,12
